stationName,stationID,sLongitude,sLatitude,clusterID
E 110 St & Madison Ave,7587.14,-73.947821,40.796154,190
Clinton Ave & Flushing Ave,4762.04,-73.969868,40.69794,46
Morgan Ave & Maspeth Ave,5354.01,-73.93637,40.716657,82
Wyckoff Av & Jefferson St,5051.01,-73.923711,40.707165,16
Clinton St & Tillary St,4748.07,-73.991421,40.696233,155
E 47 St & 1 Ave,6498.09,-73.967844,40.752069,164
Forsyth St & Canal St,5270.07,-73.994224,40.715815,94
34 St & 4 Ave,3492.04,-74.003101,40.655278,120
E 25 St & 2 Ave,6046.02,-73.979738,40.739126,104
Plaza St East & Flatbush Ave,4010.01,-73.969106,40.673134,163
Brook Ave & E 148 St,7816.14,-73.915368,40.814383,141
S 4 St & Wythe Ave,5204.05,-73.965903,40.712859,147
Sands St Gate,4812.04,-73.979827,40.699569,186
Union St & 4 Ave,4175.15,-73.98282,40.677274,100
Wilson Ave & Troutman St,4864.09,-73.92754,40.70166,198
Clermont Ave & Park Ave,4692.01,-73.971297,40.695734,46
W 54 St & 11 Ave,6955.05,-73.992573,40.768333,28
Prospect Park SW & 10 Ave,3611.02,-73.977504,40.659945,4
Queens Plaza North & Crescent St,6429.01,-73.940737,40.751102,73
Humboldt St & Varet St,4956.02,-73.940636,40.703172,103
Grand Concourse & East Mount Eden Ave,8265.09,-73.91172,40.84301,2
W 27 St & 7 Ave,6247.06,-73.993915,40.746647,60
E 56 St & Madison Ave,6732.01,-73.972628,40.761573,66
Yankee Ferry Terminal,4440.02,-74.016756,40.687066,136
14 St & 5 Ave,3771.06,-73.988951,40.666287,21
W 190 St & St. Nicholas Ave,8453.14,-73.929513,40.854788,152
Paul Ave & Mosholu Pkwy,8811.01,-73.886065,40.880294,126
Jerome Ave & W 193 St,8619.02,-73.89794,40.86659,161
Knickerbocker Ave & Hancock St,4663.02,-73.90974,40.69385,132
Morris Ave & E 142 St,7821.01,-73.924963,40.814469,57
Douglass St & 3 Ave,4217.02,-73.984327,40.680213,185
44 St & 3 Ave,3315.05,-74.011405,40.651173,9
Steinway St & 21 Ave,7137.04,-73.903787,40.774798,86
41 St & 3 Ave,3388.02,-74.008906,40.652512,183
Amsterdam Ave & W 189 St,8432.04,-73.927094,40.853142,152
Amsterdam Ave & W 183 St,8353.09,-73.93022,40.84925,152
3 Ave & 17 St,3779.02,-73.995549,40.666168,21
E 59 St & Madison Ave,6801.01,-73.971092,40.763505,66
Norfolk St & Broome St,5374.01,-73.988021,40.717227,69
Central Park W & W 91 St,7453.01,-73.966801,40.788665,89
Marion Ave & Mosholu Pkwy,8699.01,-73.881876,40.870496,11
Cedar St & Evergreen Ave,4721.01,-73.92807,40.69671,198
8 Ave & W 16 St,6072.11,-74.001702,40.740983,62
Columbia Heights & Cranberry St,4829.01,-73.995481,40.700379,151
E 133 St & Cypress Pl,7642.04,-73.9174,40.80262,87
Nagle Ave & Thayer St,8563.06,-73.925591,40.861382,196
3 Ave & E 169 St,8103.05,-73.905158,40.832678,51
Paul Ave & W 205 St,8782.01,-73.88943,40.87704,75
Boston Rd & E 167 St,8048.04,-73.903719,40.828199,51
Riverside Dr & W 153 St,8108.02,-73.949702,40.832164,107
34 St & 35 Ave,6605.08,-73.926223,40.756933,81
E 170 St & Sheridan Ave,8194.07,-73.912604,40.838315,167
Grand Concourse & E 197 St,8667.01,-73.89148,40.86945,75
E 155 St & Courtlandt Ave,7940.02,-73.917579,40.82057,141
Broadway & W 165 St,8191.01,-73.941409,40.839137,18
Pitt St & Stanton St,5406.04,-73.98178,40.719261,23
St James Pl & Oliver St,5238.05,-73.998512,40.713079,166
3 Ave & E 112 St,7543.15,-73.941606,40.795508,190
48 St & 5 Ave,3202.06,-74.009271,40.646351,188
Frost St & Meeker Ave,5371.07,-73.9488,40.717662,52
Fulton St & Utica Ave,4228.02,-73.929891,40.679427,110
Prospect Ave & Jennings St,8099.04,-73.896853,40.831762,139
Ogden Ave & Merriam Ave,8218.04,-73.925961,40.839142,122
E 169 St & Webster Ave,8122.04,-73.908863,40.834015,167
Franklin St & W Broadway,5430.08,-74.006667,40.719116,176
24 St & 41 Ave,6505.09,-73.939991,40.752474,133
3 Ave & Schermerhorn St,4437.01,-73.979677,40.686832,129
Washington St & Barrow St,5847.08,-74.008769,40.731911,162
DeKalb Ave & Hudson Ave,4513.06,-73.981013,40.689888,17
37 Ave & 35 St,6529.02,-73.927992,40.753111,14
Leonard St & Boerum St,5036.06,-73.946446,40.705833,3
E 82 St & East End Ave,7049.04,-73.946821,40.772461,123
Dyckman St & Henshaw St,8636.04,-73.92936,40.867357,138
W 171 St & St. Nicholas Ave,8262.07,-73.938631,40.842941,96
Menahan St & Onderdonk Ave,5034.03,-73.9096,40.70553,37
6 St & 7 Ave,3834.10,-73.979881,40.668663,63
Bus Slip & State St,4889.06,-74.013942,40.701907,90
Pulaski St & Marcus Garvey Blvd,4656.03,-73.939877,40.693398,43
E 47 St & Park Ave,6584.12,-73.974987,40.755103,143
Southern Blvd & E 142 St,7719.13,-73.908098,40.807347,10
Irving Ave & DeKalb Ave,4898.02,-73.92095,40.7027,117
E 51 St & Lexington Ave,6659.01,-73.972078,40.757148,143
Nostrand Ave & Myrtle Ave,4707.04,-73.952381,40.69527,140
E 50 St & Park Ave,6659.10,-73.974235,40.757334,143
Broadway & Battery Pl,4962.01,-74.013617,40.704633,90
E 76 St & Park Ave,7128.08,-73.962221,40.773763,105
Broadway & W 133 St,7903.02,-73.956156,40.819034,150
20 Ave & 42 St,7163.07,-73.900063,40.775415,86
5 Ave & 37 St,3379.03,-74.002356,40.652657,120
30 Ave & 47 St,6774.13,-73.909562,40.761294,67
Milton St & Franklin St,5752.07,-73.95779,40.72906,44
E 11 St & 1 Ave,5746.14,-73.984267,40.729538,78
LaGuardia Pl & W 3 St,5721.14,-73.998102,40.72917,171
Frederick Douglass Blvd & W 129 St,7795.09,-73.949229,40.812551,159
Amsterdam Ave & W 82 St,7360.10,-73.976673,40.785247,58
E 31 St & 3 Ave,6239.08,-73.979661,40.743943,5
E 67 St & Park Ave,6932.14,-73.965921,40.767801,101
N 6 St & Bedford Ave,5379.10,-73.958509,40.717452,128
5 Ave & E 103 St,7511.19,-73.952499,40.792255,172
Underhill Ave & Lincoln Pl,4042.08,-73.967146,40.674012,163
W 87 St & West End Ave,7484.05,-73.97757,40.789622,58
Crescent St & Broadway,6827.11,-73.928647,40.763359,179
Madison Ave & E 120 St,7667.04,-73.942954,40.80295,118
Carlton Ave & Dean St,4199.12,-73.97101,40.680974,12
Monroe St & Classon Ave,4336.01,-73.958811,40.684568,184
E 66 St & Madison Ave,6969.08,-73.968453,40.768009,101
44 Dr & 21 St,6278.04,-73.946093,40.748,73
Edgecombe Ave & W 141 St,7915.11,-73.945144,40.820681,8
Bailey Ave & W 193 St,8676.01,-73.90678,40.87069,174
4 Ave & 9 St,3955.05,-73.988766,40.670513,21
St. Nicholas Ave & W 155 St,8085.05,-73.941323,40.830663,170
Pinehurst Ave & W 187 St,8458.03,-73.937878,40.855331,59
63 St & 5 Ave,2872.02,-74.01782,40.63766,53
Grand Ave & W Fordham Rd,8571.02,-73.90316,40.86288,92
W 155 St & Frederick Douglass Blvd,8065.13,-73.936996,40.82923,170
Columbia St & Degraw St,4422.04,-74.002424,40.68593,33
E 53 St & Madison Ave,6659.03,-73.974023,40.759711,143
Lenox Ave & W 130 St,7753.13,-73.943068,40.810792,159
Lincoln Ave & E 138 St,7744.06,-73.927311,40.810893,182
Pier 40 - Hudson River Park,5696.03,-74.011296,40.727714,74
Van Brunt St & Van Dyke St,4095.10,-74.014726,40.675833,48
8 Ave & W 52 St,6816.07,-73.985162,40.763707,168
Amsterdam Ave & W 125 St,7800.03,-73.956461,40.813358,93
Walton Ave & E 183 St,8514.05,-73.90266,40.858472,92
Central Park W & W 103 St,7577.27,-73.961884,40.79559,175
W 106 St & Central Park West,7606.01,-73.960591,40.798186,175
University Pl & E 14 St,5905.14,-73.992085,40.734814,119
Broadway & W 131 St,7865.09,-73.957163,40.817555,150
Lafayette St & E 8 St,5788.13,-73.991026,40.730207,71
Broadway & Roebling St,5125.07,-73.960631,40.709248,147
E 118 St & 1 Ave,7596.10,-73.93504,40.79747,36
46 St & 6 Ave,3161.02,-74.005708,40.645921,77
E 14 St & Avenue B,5736.09,-73.977724,40.729387,169
Berkeley Pl & 6 Ave,4134.06,-73.978469,40.67653,100
Union St & Bedford Ave,3879.04,-73.955416,40.669178,41
Tiebout Ave & E Fordham Road,8546.06,-73.894831,40.861915,32
Morningside Dr & Amsterdam Ave,7741.04,-73.957365,40.810285,93
Metropolitan Ave & Stewart Ave,5273.01,-73.92793,40.71401,16
E 9 St & Avenue C,5616.01,-73.977688,40.725213,23
St. Nicholas Ave & W 126 St,7756.10,-73.951878,40.811432,93
W 20 St & 8 Ave,6224.05,-74.00004,40.743453,62
Broadway & W 160 St,8157.06,-73.9434,40.835775,18
8 Ave & W 33 St,6450.12,-73.993934,40.751551,60
Steinway St & 28 Ave,6915.02,-73.913669,40.765625,145
Metropolitan Ave & Meeker Ave,5300.05,-73.952344,40.714133,65
S 5 Pl & S 5 St,5125.03,-73.960876,40.710451,147
University Ave & Macombs Rd,8344.09,-73.916121,40.84964,61
Stagg St & Union Ave,5117.05,-73.950953,40.708771,3
42 Pl & Northern Blvd,6520.07,-73.920603,40.753091,81
Grant Ave & E 169 St,8141.01,-73.913741,40.83579,167
Ft. Washington Ave & W 190 St,8496.01,-73.935662,40.856906,59
Willoughby Ave & Myrtle Ave,4759.02,-73.93098,40.69757,43
Broadway & W 220 St,8715.01,-73.912807,40.872412,108
Bank St & Hudson St,5922.08,-74.00618,40.736529,162
Amsterdam Ave & W 186 St,8394.15,-73.928808,40.851113,152
Steinway St & 23 Ave,7009.02,-73.907744,40.771394,86
Broadway & Hancock St,4441.06,-73.9168,40.68663,154
E 170 St & Webster Ave,8156.03,-73.907301,40.836179,167
Brook Ave & E 138 St,7707.08,-73.91924,40.807408,87
Flatbush Ave & Ocean Ave,3704.04,-73.963014,40.663657,41
E 149 St & Park Ave,7884.04,-73.925294,40.818154,57
Harrison Pl & Porter Ave,5090.06,-73.92851,40.70686,16
Bailey Ave & Sedgwick Ave,8643.01,-73.90857,40.86571,174
E 169 St & Fox St,8024.05,-73.893721,40.827184,139
E 163 St & Tiffany St,7927.08,-73.895069,40.821075,34
29 St & 5 Ave,3523.06,-73.998194,40.656986,79
Degraw St & Hoyt St,4258.07,-73.99079,40.68199,142
7 St & 3 Ave,3996.01,-73.98983,40.672603,72
39 St & 2 Ave,3501.01,-74.010628,40.6554,183
Hunts Point Ave & Bryant Ave,7820.05,-73.8855,40.813991,109
31 St & Thomson Ave,6227.02,-73.935404,40.744697,127
University Ave & W Burnside Ave,8462.09,-73.910751,40.85501,160
8 Ave & W 49 St,6747.07,-73.986551,40.761712,168
Knickerbocker Ave & George St,4979.07,-73.92836,40.704425,198
48 Ave & 5 St,6212.04,-73.955873,40.744363,22
W 20 St & 7 Ave,6182.02,-73.997262,40.742388,62
Lenox Ave & W 126 St,7720.03,-73.945209,40.808442,159
Adam Clayton Powell Blvd & W 126 St,7738.04,-73.947765,40.809495,159
Nassau St\t& Duffield St,4781.05,-73.98384,40.698477,186
W 84 St & Columbus Ave,7382.04,-73.972834,40.785,58
Grand St & Elizabeth St,5382.06,-73.99596,40.718822,94
E 5 St & Avenue C,5545.04,-73.979955,40.722992,23
Central Park West & W 76 St,7253.04,-73.973747,40.778968,15
W 42 St & Dyer Ave,6644.07,-73.9938,40.758985,97
Greenwich St & Hubert St,5470.10,-74.010065,40.721319,176
Convent Ave & W 135 St,7860.08,-73.950988,40.818215,8
Edgecombe Ave & W 150 St,8049.05,-73.941427,40.826881,170
Meserole Ave & Manhattan Ave,5666.04,-73.952991,40.727086,44
Concord St & Bridge St,4781.03,-73.984764,40.697666,186
E 63 St & 3 Ave,6830.02,-73.9646,40.763954,101
Broadway & W 58 St,6948.10,-73.981693,40.766953,165
Greene Ave & Nostrand Ave,4519.02,-73.950916,40.688334,140
Gansevoort St & Hudson St,6072.14,-74.00507,40.739448,25
W 116 St & Amsterdam Ave,7692.11,-73.960708,40.806758,27
Kent St & McGuinness Blvd,5785.10,-73.95161,40.73124,44
1 Ave & E 39 St,6303.01,-73.97113,40.74714,164
Riverside Dr & W 72 St,7288.04,-73.985624,40.780578,131
5 Ave & E 78 St,7161.08,-73.964274,40.776321,105
6 Ave & Canal St,5500.07,-74.005664,40.722438,176
India St Pier,5794.05,-73.961239,40.731735,44
Jerome Ave & Anderson Ave,8061.01,-73.928747,40.830179,30
Kent Ave & N 7 St,5489.03,-73.961651,40.720368,128
N 11 St & Kent Ave,5489.04,-73.959219,40.722482,128
Bedford Ave & S 9 St,5093.01,-73.96409,40.708531,147
Bedford Ave & Nassau Ave,5550.05,-73.952123,40.723117,191
E 138 St & 5 Av,7809.13,-73.936153,40.81449,76
Eastern Pkwy & Washington Ave,3928.08,-73.963115,40.671649,98
Central Ave & Starr Street,4792.03,-73.92834,40.700003,198
20 Ave & 38 St,7196.04,-73.902382,40.777112,86
Stuyvesant Walk & 1 Av Loop,5854.10,-73.978984,40.73234,169
